"earningsid","period","strong_financial_metrics","revenue_profit_growth","reasonable_valuation","healthy_roe","strong_cashflow_low_debt","positive_dividend_history","quality_management","competitive_advantage_moat","industry_leadership_and_trends","new_products_or_services","clear_positive_rating","risk_assessment_present","forward_looking_outlook","overall_good_stock_narrative","sentiment_signal","composite_score"
"BA02","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"BA03","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"BA03","PRE",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.275307789720075
"BA04","POST",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.275307789720075
"BA04","PRE",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0.127911601603752
"BA05","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"BA05","PRE",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"BA06","POST",1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0.31666339028148
"BA06","PRE",1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0.339069293260857
"BA07","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"BA07","PRE",0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-0.0325779360602002
"BA08","POST",0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0.220397097884674
"BA08","PRE",1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0.380927780850976
"BA09","POST",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"BA09","PRE",0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,-0.0555461581716856
"BA10","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"BA10","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"BA11","POST",1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0.121154628617929
"BA11","PRE",1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0.192143990271422
"BA12","POST",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"BA12","PRE",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"BA13","POST",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"BA13","PRE",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"BA14","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"BA14","PRE",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"BA15","POST",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"BA15","PRE",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0.267284455761942
"CAT01","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CAT01","PRE",1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0.192143990271422
"CAT02","POST",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.349977370083708
"CAT02","PRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT03","POST",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.166231593191824
"CAT03","PRE",1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.110177976291162
"CAT04","POST",0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.186305929038069
"CAT04","PRE",1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0.191513095635398
"CAT05","POST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT05","PRE",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.125634894873753
"CAT06","POST",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.316032495645456
"CAT06","PRE",0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0.2663975459113
"CAT07","POST",1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0.251768105075959
"CAT07","PRE",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.313956943726941
"CAT08","POST",1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0.285712979514211
"CAT08","PRE",0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.0740341140273479
"CAT09","POST",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.1610472850958
"CAT09","PRE",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.123559342955239
"CAT10","POST",1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0.161193579504153
"CAT10","PRE",1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0.203993837348048
"CAT11","POST",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.349977370083708
"CAT11","PRE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0109583655257227
"CAT12","POST",1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0.316809684689833
"CAT12","PRE",1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0.155081216255137
"CAT13","POST",1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0.219263316219935
"CAT13","PRE",1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0.177436830531643
"CAT14","POST",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.349977370083708
"CAT14","PRE",1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.234944248115317
"CAT15","POST",1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0.188312905452667
"CAT15","PRE",0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0.262534459190718
"CRM15","POST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCO01","POST",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0.397998509625715
"CSCO01","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CSCO02","POST",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CSCO02","PRE",1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0.322858044135194
"CSCO03","POST",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0.342360917448808
"CSCO03","PRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCO04","POST",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"CSCO04","PRE",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.214010432619996
"CSCO05","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CSCO05","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CSCO06","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CSCO06","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CSCO07","POST",1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.247146116112043
"CSCO07","PRE",1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0.266653561125918
"CSCO08","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"CSCO08","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"CSCO09","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"CSCO09","PRE",0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0.205657936243068
"CSCO10","POST",1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0.208940417030498
"CSCO10","PRE",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.158862012371021
"CSCO11","POST",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CSCO11","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"CSCO12","POST",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"CSCO12","PRE",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"CSCO13","POST",1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0.214869912269072
"CSCO13","PRE",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.158862012371021
"CSCO14","POST",1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0.115330282485359
"CSCO14","PRE",0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.0889058549765244
"CSCO15","POST",0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,-0.0821031649880907
"CSCO15","PRE",0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0.226646612141522
"CVX01","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"CVX01","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX02","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX02","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX03","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX03","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CVX04","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX04","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"CVX05","POST",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"CVX05","PRE",1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0.0939667271655001
"CVX06","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"CVX06","PRE",1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0.241038324563288
"CVX07","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"CVX07","PRE",1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0.210572514023691
"CVX08","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"CVX08","PRE",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.166231593191824
"CVX09","POST",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.316032495645456
"CVX09","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"CVX10","POST",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"CVX10","PRE",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0223556142765056
"CVX11","POST",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.264431714799051
"CVX11","PRE",1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.252577296022164
"CVX12","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"CVX12","PRE",1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0.39894027987949
"CVX13","POST",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.366129187105977
"CVX13","PRE",1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0.188395196057366
"CVX14","POST",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.324833018647965
"CVX14","PRE",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.349977370083708
"CVX15","POST",1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0.380927780850976
"CVX15","PRE",1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0.274836904593187
"DIS01","POST",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0.267284455761942
"DIS01","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"DIS02","POST",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"DIS02","PRE",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"DIS03","POST",1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0.180696452817767
"DIS03","PRE",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"DIS04","POST",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"DIS04","PRE",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS05","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS05","PRE",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"DIS06","POST",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0.267284455761942
"DIS06","PRE",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0.267284455761942
"DIS07","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS07","PRE",0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0.20894956043102
"DIS08","POST",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"DIS08","PRE",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0246414644070276
"DIS09","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"DIS09","PRE",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS10","POST",0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0.257830179622103
"DIS10","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"DIS11","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS11","PRE",0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.133726804335801
"DIS12","POST",1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0.109995108280721
"DIS12","PRE",1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0.174442366860659
"DIS13","POST",0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0.156132707315178
"DIS13","PRE",1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0.208387241298912
"DIS14","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"DIS14","PRE",1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0.278096526879312
"DIS15","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"DIS15","PRE",1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0.241669219199312
"GS01","POST",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.273122516995296
"GS01","PRE",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"GS02","POST",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.264431714799051
"GS02","PRE",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.275307789720075
"GS03","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"GS03","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"GS04","POST",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37052259105684
"GS04","PRE",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"GS05","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"GS05","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"GS06","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"GS06","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"GS07","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"GS07","PRE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.11467652934803
"GS08","POST",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.273122516995296
